Brand,Device Type,Generation,Model,Repair Type,Quality Tier,Price,Notes
Apple,iPhone,iPhone Air,iPhone Air,Screen Repair,OEM,329,Apple out-of-warranty pricing
Apple,iPhone,iPhone Air,iPhone Air,Screen Repair,Premium,247,75% of Apple price (25% reduction)
Apple,iPhone,iPhone Air,iPhone Air,Screen Repair,Economy,220,67% of Apple price (33% reduction)
Apple,iPhone,iPhone Air,iPhone Air,Battery Replacement,OEM,119,Apple out-of-warranty pricing
Apple,iPhone,iPhone Air,iPhone Air,Battery Replacement,Premium,89,75% of Apple price (25% reduction)
Apple,iPhone,iPhone Air,iPhone Air,Battery Replacement,Economy,80,67% of Apple price (33% reduction)
Apple,iPhone,iPhone Air,iPhone Air,Back Glass,Single,159,Single pricing
Apple,iPhone,iPhone Air,iPhone Air,Screen & Back Glass,Single,429,Single pricing
Apple,iPhone,iPhone Air,iPhone Air,Rear Camera Module,Single,169,Single pricing
Apple,iPhone,iPhone Air,iPhone Air,Rear Camera Glass,Single,149,Single pricing
Apple,iPhone,iPhone Air,iPhone Air,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,iPhone Air,iPhone Air,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro Max,Screen Repair,OEM,379,Apple out-of-warranty pricing
Apple,iPhone,17 Series,iPhone 17 Pro Max,Screen Repair,Premium,284,75% of Apple price (25% reduction)
Apple,iPhone,17 Series,iPhone 17 Pro Max,Screen Repair,Economy,254,67% of Apple price (33% reduction)
Apple,iPhone,17 Series,iPhone 17 Pro Max,Battery Replacement,OEM,119,Apple out-of-warranty pricing
Apple,iPhone,17 Series,iPhone 17 Pro Max,Battery Replacement,Premium,89,75% of Apple price (25% reduction)
Apple,iPhone,17 Series,iPhone 17 Pro Max,Battery Replacement,Economy,80,67% of Apple price (33% reduction)
Apple,iPhone,17 Series,iPhone 17 Pro Max,Back Glass,Single,159,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro Max,Screen & Back Glass,Single,479,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro Max,Rear Camera Module,Single,249,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro Max,Rear Camera Glass,Single,149,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro Max,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro Max,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro,Screen Repair,OEM,329,Apple out-of-warranty pricing
Apple,iPhone,17 Series,iPhone 17 Pro,Screen Repair,Premium,247,75% of Apple price (25% reduction)
Apple,iPhone,17 Series,iPhone 17 Pro,Screen Repair,Economy,220,67% of Apple price (33% reduction)
Apple,iPhone,17 Series,iPhone 17 Pro,Battery Replacement,OEM,119,Apple out-of-warranty pricing
Apple,iPhone,17 Series,iPhone 17 Pro,Battery Replacement,Premium,89,75% of Apple price (25% reduction)
Apple,iPhone,17 Series,iPhone 17 Pro,Battery Replacement,Economy,80,67% of Apple price (33% reduction)
Apple,iPhone,17 Series,iPhone 17 Pro,Back Glass,Single,159,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro,Screen & Back Glass,Single,429,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro,Rear Camera Module,Single,249,Single pricing
